age,body_type,diet,drinks,drugs,height,sex,smokes
33,average,vegetarian,not at all,never,60.0,f,no
59,fit,anything,socially,never,65.0,f,no
24,athletic,anything,socially,never,72.0,m,no
21,thin,anything,socially,sometimes,71.0,m,yes
33,average,anything,socially,never,63.0,f,no
21,average,anything,socially,never,64.0,f,no
22,a little extra,anything,rarely,never,68.0,m,no
42,athletic,anything,socially,never,73.0,m,no
36,fit,anything,socially,never,66.0,f,no
39,average,anything,socially,never,72.0,m,no
38,average,vegetarian,socially,never,67.0,f,no
27,average,anything,often,sometimes,70.0,m,yes
41,fit,anything,socially,never,64.0,f,no
25,average,anything,socially,never,67.0,f,no
37,curvy,anything,socially,sometimes,60.0,f,sometimes
30,fit,anything,socially,never,62.0,f,no
33,thin,anything,often,never,74.0,m,yes
48,fit,anything,socially,never,70.0,m,no
30,average,anything,socially,never,70.0,m,no
34,average,anything,socially,sometimes,73.0,m,sometimes
41,average,anything,socially,sometimes,70.0,m,no
21,fit,anything,not at all,never,68.0,m,no
22,average,anything,socially,never,67.0,f,no
47,curvy,anything,socially,never,65.0,f,sometimes
40,athletic,anything,socially,never,75.0,m,no
26,a little extra,other,often,never,67.0,m,no
28,athletic,anything,socially,never,67.0,m,no
27,average,anything,socially,never,66.0,m,no
31,average,anything,rarely,never,68.0,m,no
30,thin,anything,socially,never,66.0,m,no
25,athletic,anything,socially,never,70.0,m,no
43,curvy,other,not at all,never,65.0,f,no
38,fit,anything,socially,never,66.0,f,no
48,curvy,anything,socially,never,63.0,f,no
54,athletic,other,socially,never,65.0,f,no
37,fit,anything,socially,never,69.0,m,no
23,full figured,anything,often,sometimes,66.0,f,sometimes
41,athletic,anything,socially,never,68.0,m,no
20,athletic,anything,socially,never,71.0,m,sometimes
25,fit,vegetarian,socially,never,75.0,m,no
42,athletic,anything,socially,sometimes,69.0,m,no
27,fit,vegetarian,socially,never,62.0,f,no
41,average,anything,not at all,never,65.0,f,no
27,average,anything,socially,never,68.0,m,no
31,fit,anything,socially,never,71.0,m,no
42,athletic,anything,socially,sometimes,69.0,m,no
29,fit,anything,rarely,never,70.0,m,no
20,fit,anything,socially,never,69.0,m,when drinking
56,fit,anything,socially,never,71.0,m,no
48,curvy,vegetarian,rarely,never,67.0,f,no
27,thin,anything,socially,never,65.0,f,no
51,athletic,anything,often,never,68.0,m,no
27,thin,anything,often,sometimes,67.0,f,no
27,fit,anything,socially,never,74.0,m,no
63,a little extra,anything,not at all,never,73.0,m,no
32,average,vegetarian,socially,never,67.0,m,sometimes
27,fit,vegetarian,socially,never,67.0,m,no
26,a little extra,anything,socially,never,66.0,m,no
25,athletic,anything,socially,never,69.0,m,no
41,average,anything,often,sometimes,68.0,m,sometimes
21,average,vegetarian,socially,never,72.0,m,no
25,athletic,anything,socially,sometimes,68.0,m,when drinking
52,fit,anything,socially,never,67.0,f,no
22,average,vegetarian,socially,never,70.0,m,sometimes
27,average,anything,socially,never,70.0,m,no
33,average,anything,often,sometimes,55.0,f,no
27,fit,other,socially,never,72.0,m,no
37,fit,anything,socially,never,68.0,m,no
22,fit,anything,socially,sometimes,73.0,m,trying to quit
49,average,anything,socially,never,69.0,m,when drinking
24,thin,anything,socially,never,71.0,m,no
27,skinny,anything,socially,never,65.0,m,no
63,fit,anything,socially,never,65.0,m,no
33,average,anything,rarely,never,63.0,m,no
52,curvy,vegetarian,rarely,sometimes,66.0,f,no
31,athletic,vegetarian,rarely,never,74.0,m,no
32,a little extra,anything,often,never,68.0,m,no
31,athletic,anything,socially,never,68.0,m,no
28,athletic,anything,often,sometimes,70.0,m,when drinking
36,athletic,anything,socially,never,70.0,m,no
48,fit,anything,socially,never,63.0,f,no
22,skinny,anything,socially,sometimes,71.0,m,when drinking
43,average,anything,socially,never,66.0,m,when drinking
41,athletic,vegetarian,rarely,never,67.0,m,no
40,fit,vegetarian,socially,sometimes,73.0,m,no
26,athletic,vegetarian,socially,never,72.0,m,no
32,curvy,anything,often,sometimes,66.0,f,no
25,average,anything,socially,never,70.0,m,no
23,athletic,anything,socially,never,74.0,m,when drinking
34,fit,anything,often,never,66.0,m,no
48,average,other,not at all,never,70.0,m,trying to quit
38,athletic,anything,not at all,never,73.0,m,no
26,fit,anything,socially,never,69.0,m,no
27,athletic,vegetarian,not at all,sometimes,72.0,m,no
31,fit,anything,socially,never,70.0,m,sometimes
39,fit,vegetarian,socially,never,72.0,m,no
38,average,anything,often,sometimes,71.0,m,no
47,athletic,anything,socially,never,62.0,f,no
26,curvy,anything,socially,sometimes,67.0,f,no
25,fit,vegetarian,socially,never,69.0,f,no
60,thin,vegetarian,rarely,never,61.0,f,no
38,athletic,anything,socially,never,70.0,f,no
57,average,anything,socially,never,60.0,f,no
29,fit,anything,socially,never,70.0,m,no
37,average,vegetarian,often,sometimes,71.0,m,trying to quit
26,full figured,vegetarian,socially,never,62.0,f,no
29,athletic,other,socially,never,69.0,m,no
32,average,anything,rarely,never,66.0,m,no
41,average,anything,socially,never,60.0,m,trying to quit
23,athletic,anything,socially,never,70.0,m,no
56,athletic,vegetarian,socially,never,67.0,m,no
39,fit,anything,often,never,72.0,m,trying to quit
32,athletic,anything,socially,never,70.0,m,when drinking
18,athletic,anything,rarely,never,72.0,m,no
29,average,anything,socially,never,67.0,m,sometimes
27,fit,anything,socially,never,67.0,m,no
28,athletic,anything,socially,never,69.0,m,no
23,curvy,anything,socially,never,67.0,f,no
32,used up,anything,socially,never,62.0,f,no
36,thin,anything,socially,never,60.0,f,no
30,fit,anything,socially,never,72.0,m,no
26,average,anything,socially,sometimes,71.0,m,no
30,a little extra,anything,socially,never,68.0,m,no
32,average,anything,socially,never,71.0,m,when drinking
37,fit,other,rarely,sometimes,73.0,m,no
23,athletic,anything,socially,never,72.0,m,no
37,average,anything,socially,never,73.0,m,no
26,fit,anything,socially,sometimes,71.0,m,no
31,a little extra,anything,socially,never,68.0,m,no
34,jacked,anything,rarely,never,68.0,m,no
25,athletic,anything,socially,sometimes,71.0,m,sometimes
61,average,anything,socially,never,67.0,f,no
26,fit,anything,often,sometimes,67.0,m,no
30,average,anything,rarely,never,68.0,m,trying to quit
27,curvy,anything,socially,never,63.0,f,no
32,average,vegetarian,socially,never,70.0,m,no
41,thin,vegetarian,socially,never,67.0,f,when drinking
52,a little extra,anything,socially,sometimes,67.0,f,yes
42,fit,anything,socially,never,72.0,m,no
27,athletic,anything,socially,never,72.0,m,no
49,fit,anything,socially,never,66.0,f,no
30,thin,anything,socially,never,67.0,f,no
32,fit,anything,socially,never,67.0,m,no
45,athletic,anything,rarely,never,73.0,m,no
34,athletic,anything,socially,never,75.0,m,no
32,thin,vegetarian,socially,never,70.0,f,no
20,athletic,anything,socially,sometimes,69.0,m,no
26,skinny,anything,rarely,never,61.0,f,no
31,athletic,anything,socially,never,72.0,m,no
45,athletic,anything,socially,sometimes,77.0,m,no
28,thin,anything,socially,never,68.0,m,no
38,fit,vegetarian,socially,never,60.0,f,no
33,a little extra,vegetarian,socially,never,75.0,m,no
26,jacked,anything,very often,sometimes,66.0,f,trying to quit
23,average,anything,rarely,sometimes,71.0,m,no
23,a little extra,anything,often,never,67.0,f,no
32,average,anything,socially,never,71.0,m,no
26,curvy,vegetarian,socially,never,71.0,m,no
40,athletic,anything,socially,never,74.0,m,no
61,a little extra,anything,socially,never,72.0,m,no
36,fit,anything,socially,never,68.0,f,no
34,average,anything,rarely,never,68.0,m,no
27,fit,anything,rarely,never,70.0,f,no
28,average,vegetarian,socially,sometimes,68.0,f,no
28,fit,anything,not at all,never,75.0,m,no
32,athletic,anything,socially,never,65.0,f,no
32,fit,anything,socially,never,72.0,m,no
30,athletic,anything,socially,never,68.0,m,no
54,a little extra,anything,very often,sometimes,72.0,m,no
23,fit,anything,socially,never,67.0,m,no
23,athletic,kosher,socially,never,68.0,m,no
26,average,anything,socially,never,68.0,m,no
36,thin,anything,rarely,never,65.0,f,no
28,athletic,anything,socially,never,71.0,m,no
41,athletic,anything,socially,never,66.0,f,no
33,average,anything,socially,never,64.0,f,no
33,curvy,anything,socially,never,63.0,f,no
26,athletic,anything,socially,never,66.0,m,no
24,athletic,anything,socially,never,72.0,m,no
18,average,anything,not at all,never,65.0,m,no
30,average,anything,socially,never,67.0,m,when drinking
46,fit,anything,socially,never,70.0,m,no
30,fit,anything,socially,never,66.0,m,no
37,skinny,anything,often,never,62.0,f,no
30,fit,other,socially,never,72.0,m,no
26,athletic,anything,socially,never,73.0,m,yes
37,thin,anything,socially,never,63.0,f,no
30,a little extra,anything,not at all,never,71.0,m,no
24,full figured,anything,socially,never,68.0,f,no
24,average,anything,rarely,never,72.0,m,no
24,skinny,other,not at all,never,67.0,m,no
43,fit,anything,socially,never,68.0,m,no
29,average,anything,socially,never,74.0,m,no
28,fit,anything,socially,never,77.0,m,no
25,average,anything,socially,never,68.0,m,no
23,fit,anything,rarely,never,72.0,m,no
31,skinny,anything,often,never,71.0,m,no
38,athletic,anything,socially,sometimes,71.0,m,trying to quit
27,athletic,anything,socially,sometimes,68.0,m,yes
34,curvy,anything,socially,never,66.0,f,sometimes
29,average,anything,socially,never,70.0,m,no
33,average,anything,socially,never,68.0,f,no
25,athletic,vegetarian,socially,sometimes,76.0,m,no
24,fit,anything,socially,never,75.0,m,no
24,average,anything,socially,never,70.0,m,no
22,average,anything,socially,never,69.0,m,no
27,athletic,anything,rarely,never,63.0,f,yes
23,thin,anything,socially,never,63.0,f,no
24,athletic,anything,rarely,never,70.0,m,no
24,curvy,anything,not at all,never,67.0,f,no
40,average,anything,socially,never,61.0,f,no
42,average,anything,socially,never,64.0,f,no
32,curvy,vegetarian,rarely,never,65.0,f,no
23,average,anything,socially,never,68.0,m,no
45,fit,anything,socially,sometimes,72.0,m,no
34,fit,anything,socially,never,67.0,m,no
29,average,anything,socially,sometimes,72.0,m,no
55,average,vegetarian,rarely,never,72.0,m,no
34,fit,anything,socially,never,71.0,m,no
22,athletic,anything,rarely,never,72.0,m,no
24,athletic,anything,socially,sometimes,67.0,f,sometimes
35,athletic,anything,often,never,71.0,m,no
26,fit,anything,socially,never,66.0,f,no
23,curvy,anything,socially,never,66.0,f,no
26,fit,anything,socially,never,68.0,m,no
29,full figured,anything,rarely,never,65.0,f,no
29,a little extra,anything,socially,never,70.0,m,no
24,a little extra,anything,socially,never,74.0,m,sometimes
28,athletic,vegetarian,socially,never,72.0,m,no
24,thin,vegan,socially,never,67.0,m,no
38,a little extra,anything,socially,never,75.0,m,no
26,fit,anything,socially,sometimes,69.0,m,no
47,fit,vegetarian,socially,never,68.0,m,no
65,athletic,anything,socially,never,62.0,f,no
30,a little extra,anything,socially,never,69.0,m,no
26,fit,anything,socially,never,64.0,f,when drinking
29,thin,anything,rarely,never,62.0,f,no
21,overweight,anything,socially,never,71.0,m,no
32,fit,vegetarian,rarely,never,64.0,f,no
29,a little extra,anything,socially,never,68.0,f,no
24,average,anything,socially,never,67.0,f,no
34,average,anything,socially,never,63.0,f,no
32,average,anything,socially,never,70.0,m,trying to quit
41,athletic,anything,socially,never,71.0,m,no
28,athletic,anything,socially,never,67.0,m,no
32,fit,vegetarian,rarely,never,69.0,f,no
22,curvy,anything,socially,sometimes,70.0,f,yes
26,jacked,anything,socially,sometimes,74.0,m,when drinking
37,curvy,anything,socially,never,62.0,f,no
38,athletic,anything,socially,never,68.0,m,no
37,full figured,anything,socially,never,68.0,f,no
24,athletic,anything,socially,never,69.0,m,no
27,average,anything,rarely,never,70.0,m,no
22,average,anything,often,sometimes,64.0,f,when drinking
26,average,vegetarian,socially,sometimes,69.0,m,sometimes
51,average,vegetarian,not at all,never,67.0,m,no
27,fit,other,socially,never,66.0,m,no
64,fit,anything,socially,never,65.0,f,no
44,athletic,anything,socially,never,67.0,m,no
20,athletic,anything,socially,sometimes,69.0,m,no
63,curvy,other,not at all,never,63.0,f,no
36,athletic,vegetarian,rarely,never,75.0,m,no
55,athletic,anything,socially,never,66.0,m,no
33,fit,vegetarian,often,sometimes,69.0,m,no
26,overweight,vegetarian,socially,never,69.0,m,no
28,average,vegetarian,socially,sometimes,65.0,m,sometimes
31,average,vegan,socially,never,72.0,m,no
21,athletic,anything,socially,sometimes,66.0,m,sometimes
27,athletic,vegetarian,socially,never,71.0,m,no
28,average,other,socially,never,69.0,m,no
48,fit,other,rarely,never,63.0,f,no
25,fit,other,socially,never,66.0,f,no
32,athletic,anything,socially,never,68.0,f,no
34,athletic,anything,socially,never,73.0,m,no
28,fit,vegan,rarely,never,69.0,m,no
34,fit,vegan,socially,never,65.0,f,no
34,average,vegan,socially,never,64.0,f,no
26,a little extra,vegetarian,very often,never,65.0,m,yes
22,fit,anything,very often,often,68.0,m,yes
25,fit,vegan,not at all,never,71.0,m,no
33,average,vegan,often,never,67.0,m,when drinking
26,athletic,vegan,socially,never,65.0,f,no
20,a little extra,anything,socially,never,73.0,m,no
30,average,anything,socially,sometimes,73.0,m,yes
29,overweight,anything,socially,never,69.0,m,no
26,thin,anything,socially,never,70.0,m,no
35,a little extra,anything,socially,never,71.0,m,no
24,fit,vegetarian,socially,sometimes,63.0,f,no
55,overweight,anything,rarely,never,70.0,m,no
27,skinny,vegan,very often,never,72.0,m,no
26,average,vegan,socially,sometimes,69.0,m,no
23,average,vegan,rarely,never,64.0,f,no
53,average,vegetarian,socially,never,69.0,m,no
44,average,anything,rarely,never,72.0,m,no
21,athletic,anything,socially,never,72.0,m,when drinking
38,fit,anything,socially,never,71.0,m,no
36,curvy,anything,socially,never,66.0,f,no
30,full figured,anything,rarely,never,66.0,f,no
40,athletic,other,rarely,never,72.0,m,no
30,fit,anything,rarely,never,70.0,m,no
34,average,anything,socially,never,68.0,m,no
40,curvy,anything,socially,sometimes,64.0,f,no
27,athletic,anything,socially,never,63.0,f,no
45,average,anything,rarely,never,70.0,m,no
23,thin,vegetarian,socially,sometimes,71.0,m,when drinking
31,fit,anything,socially,never,73.0,m,no
29,thin,anything,socially,never,64.0,f,no
36,fit,vegetarian,socially,sometimes,70.0,m,no
25,average,anything,rarely,sometimes,70.0,m,sometimes
26,average,vegan,socially,never,68.0,m,sometimes
29,average,anything,socially,never,68.0,m,no
25,average,anything,socially,often,68.0,m,no
38,average,anything,socially,never,70.0,m,no
30,fit,anything,socially,never,65.0,m,no
61,average,anything,socially,never,64.0,m,no
38,athletic,anything,socially,never,68.0,m,no
36,average,anything,socially,never,65.0,m,no
38,thin,anything,socially,never,69.0,f,no
36,athletic,anything,rarely,sometimes,71.0,m,no
27,fit,anything,often,sometimes,73.0,m,no
48,athletic,other,not at all,never,75.0,m,no
29,athletic,anything,socially,never,72.0,m,no
32,curvy,anything,socially,never,69.0,f,no
27,fit,anything,not at all,never,70.0,m,no
25,thin,anything,socially,never,63.0,f,no
22,average,anything,socially,never,67.0,f,no
29,average,anything,socially,never,64.0,f,no
30,fit,anything,socially,never,67.0,m,no
28,thin,anything,rarely,never,68.0,f,no
40,average,anything,socially,never,67.0,f,no
56,fit,anything,socially,never,68.0,f,no
31,athletic,anything,socially,never,67.0,m,no
33,fit,anything,socially,never,73.0,m,no
32,athletic,anything,socially,never,71.0,m,no
39,athletic,other,rarely,never,64.0,f,no
32,average,anything,socially,sometimes,66.0,f,no
24,average,vegetarian,rarely,never,67.0,m,no
31,average,anything,socially,never,70.0,m,no
44,thin,vegetarian,socially,never,64.0,f,no
24,full figured,anything,socially,never,68.0,f,no
22,fit,anything,often,never,70.0,m,no
25,athletic,anything,socially,never,75.0,m,no
29,fit,anything,often,never,68.0,m,no
31,athletic,anything,rarely,never,71.0,m,no
36,athletic,anything,often,sometimes,65.0,f,no
28,skinny,anything,socially,never,64.0,f,no
30,athletic,anything,socially,never,72.0,m,no
32,athletic,anything,socially,never,71.0,m,no
21,athletic,other,rarely,never,70.0,m,when drinking
24,full figured,anything,often,never,71.0,m,no
27,athletic,anything,socially,never,71.0,m,no
35,thin,anything,socially,sometimes,69.0,m,yes
28,athletic,other,socially,never,72.0,m,no
25,average,vegetarian,often,sometimes,66.0,m,no
25,thin,vegetarian,often,sometimes,65.0,f,when drinking
28,average,anything,not at all,never,61.0,f,no
23,a little extra,anything,socially,never,72.0,m,no
29,thin,anything,socially,never,66.0,f,when drinking
34,athletic,anything,socially,sometimes,68.0,m,no
35,athletic,anything,socially,never,67.0,m,no
56,average,vegan,not at all,never,70.0,m,no
29,curvy,anything,socially,never,63.0,f,no
32,fit,anything,socially,never,65.0,f,no
27,curvy,anything,desperately,never,95.0,f,no
36,athletic,anything,socially,never,66.0,m,no
44,average,anything,socially,never,74.0,m,no
38,average,kosher,rarely,never,68.0,f,no
26,athletic,anything,socially,never,64.0,f,no
31,average,anything,socially,never,64.0,f,no
21,full figured,anything,very often,sometimes,62.0,f,yes
33,fit,anything,rarely,never,66.0,m,no
58,fit,anything,not at all,never,72.0,m,no
21,skinny,anything,very often,sometimes,71.0,m,trying to quit
47,average,anything,often,never,63.0,f,no
39,jacked,anything,often,never,68.0,m,no
32,thin,anything,socially,never,68.0,f,no
21,average,anything,often,sometimes,67.0,f,sometimes
26,fit,anything,socially,sometimes,71.0,m,no
31,curvy,anything,socially,never,69.0,f,when drinking
24,average,anything,rarely,never,68.0,m,no
63,average,anything,socially,never,71.0,m,no
24,athletic,other,socially,never,66.0,m,no
29,fit,anything,socially,never,73.0,m,no
34,average,anything,rarely,never,69.0,m,no
26,full figured,vegetarian,often,never,63.0,f,sometimes
36,curvy,anything,often,sometimes,66.0,f,yes
28,fit,anything,socially,never,72.0,m,no
45,average,anything,socially,never,67.0,f,no
35,average,vegetarian,rarely,never,70.0,f,no
53,athletic,anything,socially,never,61.0,f,no
35,average,anything,socially,never,64.0,f,no
43,average,vegan,socially,never,67.0,m,no
25,athletic,other,socially,never,63.0,m,no
29,average,anything,often,sometimes,74.0,m,when drinking
47,average,anything,often,never,63.0,f,sometimes
38,curvy,anything,often,never,68.0,f,when drinking
23,fit,anything,socially,never,70.0,m,no
19,average,anything,socially,never,74.0,m,no
28,a little extra,anything,socially,never,71.0,m,yes
32,average,other,not at all,never,64.0,f,yes
28,athletic,anything,socially,never,75.0,m,no
51,athletic,anything,socially,never,71.0,m,no
24,average,vegetarian,often,never,69.0,f,when drinking
37,a little extra,anything,socially,never,70.0,m,no
53,overweight,vegetarian,socially,never,67.0,m,no
23,thin,anything,socially,never,67.0,f,no
28,average,anything,socially,sometimes,62.0,f,no
29,athletic,anything,desperately,never,69.0,m,no
67,athletic,anything,socially,never,66.0,m,no
24,athletic,anything,socially,sometimes,74.0,m,no
25,fit,vegetarian,socially,never,68.0,m,no
54,athletic,anything,socially,never,72.0,m,no
28,thin,anything,often,never,73.0,m,no
37,average,anything,rarely,never,76.0,m,no
24,average,anything,socially,never,66.0,f,no
33,curvy,anything,socially,never,57.0,f,no
22,average,anything,socially,never,68.0,m,no
28,average,other,socially,never,67.0,m,no
42,fit,anything,rarely,never,66.0,f,no
27,athletic,anything,very often,never,66.0,m,no
48,thin,anything,rarely,never,67.0,m,no
23,average,anything,socially,sometimes,60.0,f,when drinking
29,fit,anything,rarely,never,71.0,m,no
44,average,anything,socially,never,59.0,f,no
29,thin,vegetarian,rarely,never,67.0,f,no
40,overweight,anything,often,sometimes,69.0,m,no
26,fit,anything,socially,never,70.0,m,no
32,athletic,anything,often,never,73.0,m,no
28,a little extra,anything,socially,never,71.0,m,no
39,fit,anything,socially,never,71.0,m,no
27,fit,anything,socially,never,69.0,m,no
22,athletic,anything,often,never,75.0,m,sometimes
32,athletic,anything,socially,never,75.0,m,sometimes
30,fit,anything,socially,never,70.0,m,when drinking
23,skinny,anything,rarely,sometimes,74.0,m,trying to quit
30,average,anything,socially,never,66.0,f,no
34,average,anything,not at all,never,60.0,f,no
31,athletic,anything,socially,never,76.0,m,no
33,average,anything,socially,sometimes,63.0,m,no
23,overweight,anything,socially,sometimes,66.0,f,trying to quit
36,athletic,vegetarian,not at all,never,62.0,m,no
22,fit,anything,often,sometimes,72.0,m,trying to quit
29,fit,other,socially,never,68.0,m,no
31,athletic,vegetarian,socially,never,70.0,m,no
22,full figured,anything,socially,sometimes,65.0,f,no
27,average,anything,socially,sometimes,68.0,f,no
25,athletic,anything,socially,never,72.0,m,no
27,average,anything,socially,never,68.0,m,no
22,fit,vegetarian,socially,sometimes,68.0,m,when drinking
35,thin,vegan,socially,never,66.0,f,no
33,fit,other,rarely,never,69.0,m,no
20,fit,other,socially,never,68.0,m,no
28,athletic,anything,socially,sometimes,72.0,m,no
26,athletic,anything,socially,never,67.0,m,no
51,average,vegetarian,rarely,sometimes,71.0,m,no
27,curvy,anything,socially,never,64.0,f,no
37,curvy,anything,socially,sometimes,67.0,f,sometimes
33,athletic,anything,socially,never,73.0,m,no
25,athletic,kosher,not at all,never,67.0,m,no
24,athletic,anything,socially,never,62.0,f,no
27,average,anything,often,never,74.0,m,no
23,thin,anything,socially,never,68.0,m,no
34,average,anything,not at all,never,67.0,f,no
34,average,anything,socially,never,68.0,m,no
30,athletic,anything,not at all,never,68.0,m,no
34,athletic,anything,often,never,74.0,m,no
30,curvy,anything,rarely,never,67.0,m,no
30,curvy,anything,socially,never,64.0,f,no
24,average,anything,not at all,never,70.0,m,no
26,used up,anything,rarely,never,70.0,m,no
46,a little extra,other,not at all,never,70.0,m,no
41,athletic,anything,socially,never,70.0,m,no
52,thin,anything,rarely,never,69.0,m,no
26,average,anything,often,never,70.0,m,no
24,a little extra,vegetarian,socially,never,76.0,m,no
33,athletic,anything,socially,never,67.0,m,no
46,fit,anything,often,never,71.0,f,no
28,fit,anything,not at all,never,71.0,m,yes
28,athletic,anything,socially,never,70.0,m,no
23,athletic,anything,often,sometimes,73.0,m,no
46,fit,anything,socially,never,69.0,m,sometimes
30,average,anything,rarely,never,72.0,m,no
24,athletic,anything,socially,never,70.0,m,no
32,curvy,anything,socially,never,62.0,f,no
40,full figured,anything,rarely,never,64.0,f,no
52,fit,anything,not at all,never,73.0,m,no
56,fit,vegetarian,rarely,never,67.0,m,no
50,thin,vegetarian,rarely,never,69.0,m,no
51,athletic,anything,socially,sometimes,70.0,m,no
30,a little extra,anything,socially,never,68.0,m,trying to quit
26,a little extra,anything,not at all,never,73.0,m,when drinking
28,a little extra,anything,socially,never,73.0,m,no
26,curvy,other,socially,never,64.0,f,no
24,athletic,anything,socially,never,67.0,m,no
28,average,vegetarian,rarely,never,72.0,m,no
28,thin,vegetarian,rarely,sometimes,66.0,m,no
22,fit,anything,socially,never,69.0,m,no
22,skinny,anything,often,often,73.0,m,yes
42,athletic,other,socially,never,72.0,m,no
47,fit,anything,rarely,never,61.0,f,no
58,average,vegetarian,socially,never,69.0,m,no
44,fit,anything,socially,never,66.0,f,no
39,average,anything,socially,sometimes,70.0,m,no
31,athletic,anything,often,never,68.0,m,yes
24,curvy,vegetarian,socially,never,66.0,f,no
28,average,anything,rarely,never,67.0,m,no
22,athletic,anything,socially,never,69.0,m,when drinking
40,athletic,anything,socially,never,65.0,m,no
37,athletic,anything,socially,never,66.0,f,no
26,athletic,vegetarian,socially,never,74.0,m,no
33,fit,anything,often,never,75.0,m,no
33,average,anything,socially,never,73.0,m,no
31,jacked,other,socially,never,68.0,m,no
48,athletic,vegetarian,socially,never,67.0,f,no
48,average,anything,very often,never,70.0,m,no
28,average,anything,socially,never,70.0,m,no
41,athletic,vegetarian,socially,never,63.0,f,no
32,athletic,vegetarian,rarely,sometimes,69.0,m,yes
49,fit,anything,often,never,70.0,m,no
30,fit,anything,socially,never,71.0,m,no
49,a little extra,anything,socially,never,66.0,f,no
23,average,anything,socially,never,68.0,m,no
23,curvy,other,socially,sometimes,67.0,f,sometimes
28,curvy,anything,often,never,62.0,f,no
35,average,anything,socially,sometimes,75.0,m,no
29,athletic,anything,socially,never,62.0,f,no
24,skinny,other,socially,sometimes,73.0,m,yes
23,fit,vegetarian,socially,never,73.0,m,no
33,athletic,vegetarian,socially,never,68.0,m,no
26,average,anything,socially,never,74.0,m,yes
41,fit,anything,often,never,68.0,m,no
41,a little extra,vegetarian,rarely,often,69.0,m,no
31,full figured,anything,rarely,never,67.0,f,no
26,a little extra,anything,often,never,70.0,m,no
41,average,anything,socially,never,69.0,m,no
39,athletic,anything,socially,never,69.0,m,no
26,average,anything,socially,never,71.0,m,no
59,fit,anything,socially,never,73.0,m,no
24,athletic,other,socially,sometimes,72.0,m,when drinking
23,athletic,other,socially,sometimes,60.0,f,sometimes
22,skinny,anything,socially,never,71.0,m,no
36,athletic,anything,socially,never,73.0,m,no
30,fit,anything,socially,often,68.0,f,when drinking
41,athletic,anything,socially,never,71.0,m,no
47,average,vegetarian,rarely,never,72.0,m,no
31,average,anything,socially,never,70.0,f,no
26,skinny,anything,often,sometimes,72.0,m,sometimes
29,full figured,anything,socially,sometimes,78.0,m,no
21,average,anything,socially,never,68.0,m,no
30,athletic,anything,socially,never,70.0,m,no
25,athletic,other,socially,never,68.0,m,no
32,fit,anything,often,never,71.0,m,no
27,thin,vegetarian,rarely,often,70.0,f,no
33,thin,anything,socially,never,62.0,f,no
34,fit,anything,socially,never,69.0,m,when drinking
22,skinny,anything,socially,never,67.0,m,no
25,average,vegetarian,socially,never,71.0,m,sometimes
26,athletic,anything,socially,never,69.0,m,no
49,fit,anything,socially,never,69.0,f,no
40,curvy,anything,rarely,never,66.0,f,no
42,curvy,anything,socially,never,65.0,f,no
32,average,anything,desperately,never,66.0,f,when drinking
56,thin,anything,socially,sometimes,71.0,m,no
29,average,anything,socially,never,73.0,m,sometimes
26,average,other,socially,never,73.0,m,yes
25,average,anything,desperately,sometimes,63.0,f,no
37,average,anything,rarely,never,67.0,m,sometimes
39,athletic,other,socially,never,69.0,f,no
23,a little extra,anything,socially,never,69.0,m,no
24,average,anything,socially,never,66.0,f,no
26,fit,anything,socially,never,75.0,m,no
27,fit,anything,socially,never,67.0,m,no
22,fit,anything,socially,never,56.0,m,no
24,average,anything,socially,sometimes,65.0,f,yes
61,average,anything,socially,never,69.0,m,no
35,average,anything,socially,never,66.0,m,no
27,athletic,anything,socially,never,67.0,m,no
32,athletic,anything,socially,never,76.0,m,no
31,average,vegan,not at all,never,70.0,m,no
30,average,anything,socially,sometimes,71.0,m,when drinking
22,athletic,anything,rarely,never,70.0,m,no
26,average,anything,rarely,never,60.0,f,no
23,athletic,anything,socially,never,70.0,m,when drinking
26,a little extra,kosher,socially,sometimes,64.0,f,when drinking
22,fit,vegetarian,socially,never,64.0,f,no
33,thin,anything,socially,sometimes,71.0,m,no
30,average,anything,socially,never,68.0,m,no
24,athletic,anything,socially,often,70.0,m,sometimes
42,fit,anything,rarely,never,62.0,f,no
48,overweight,anything,often,never,70.0,m,no
40,full figured,anything,socially,never,64.0,f,no
30,fit,anything,socially,never,74.0,m,no
27,curvy,anything,socially,never,69.0,f,no
21,athletic,anything,socially,never,74.0,m,no
20,average,vegetarian,socially,sometimes,72.0,m,no
27,thin,anything,socially,never,69.0,m,no
18,athletic,anything,socially,sometimes,82.0,m,sometimes
40,average,anything,socially,never,69.0,m,no
30,curvy,anything,not at all,never,67.0,f,no
31,average,anything,socially,sometimes,70.0,m,no
24,average,anything,socially,never,70.0,m,no
26,fit,vegetarian,socially,never,72.0,m,no
33,a little extra,anything,socially,never,69.0,m,no
29,thin,anything,rarely,sometimes,75.0,m,no
57,athletic,anything,socially,never,68.0,m,no
21,fit,anything,socially,sometimes,70.0,m,sometimes
27,average,anything,socially,never,70.0,m,no
28,average,anything,socially,never,74.0,m,no
26,fit,anything,socially,sometimes,72.0,m,when drinking
24,average,anything,socially,never,64.0,f,no
26,athletic,anything,socially,sometimes,72.0,m,no
25,skinny,anything,rarely,never,69.0,m,no
26,full figured,anything,not at all,never,66.0,f,no
29,average,anything,socially,never,64.0,f,no
69,average,anything,socially,never,66.0,f,no
